antibiotic,CDS
meropenem,NC_002516.2_2148
meropenem,NC_008463.1_102
meropenem,NC_008463.1_1216
meropenem,NC_008463.1_1767
meropenem,NC_008463.1_1769
meropenem,NC_008463.1_1780
meropenem,NC_008463.1_2359
meropenem,NC_008463.1_265
meropenem,NC_008463.1_2868
meropenem,NC_008463.1_2875
meropenem,NC_008463.1_2883
meropenem,NC_008463.1_3460
meropenem,NC_008463.1_3461
meropenem,NC_008463.1_3746
meropenem,NC_008463.1_3940
meropenem,NC_008463.1_3978
meropenem,NC_008463.1_3980
meropenem,NC_011770.1_1643
meropenem,NC_011770.1_2329
meropenem,NC_011770.1_599
meropenem,NC_017548.1_1373
meropenem,NC_017548.1_1380
meropenem,NC_017548.1_2715
meropenem,NC_017548.1_3954
meropenem,NC_017548.1_5753
meropenem,NC_017548.1_5759
meropenem,NC_017548.1_632
meropenem,NC_017549.1_1343
meropenem,NC_017549.1_1347
meropenem,NC_017549.1_1348
meropenem,NC_017549.1_1349
meropenem,NC_017549.1_1351
meropenem,NC_017549.1_1352
meropenem,NC_017549.1_1356
meropenem,NC_017549.1_1357
meropenem,NC_017549.1_1361
meropenem,NC_017549.1_1364
meropenem,NC_017549.1_1371
meropenem,NC_017549.1_1393
meropenem,NC_017549.1_1395
meropenem,NC_017549.1_1406
meropenem,NC_017549.1_1409
meropenem,NC_017549.1_1412
meropenem,NC_017549.1_3170
meropenem,NC_017549.1_4806
meropenem,NC_017549.1_6199
meropenem,NC_017549.1_816
meropenem,NC_017549.1_825
meropenem,NC_018080.1_5721
meropenem,NC_022344.1_110
meropenem,NC_022344.1_135
meropenem,NC_022344.1_137
meropenem,NC_022344.1_142
meropenem,NC_022344.1_26
meropenem,NC_022344.1_296
meropenem,NC_022344.1_305
meropenem,NC_022344.1_323
meropenem,NC_022344.1_351
meropenem,NC_022344.1_391
meropenem,NC_022344.1_459
meropenem,NC_022344.1_478
meropenem,NC_022344.1_494
meropenem,NC_022344.1_502
meropenem,NC_022344.1_61
meropenem,NC_022344.1_80
meropenem,NC_022344.1_84
meropenem,NC_022808.2_1174
meropenem,NC_022808.2_4862
meropenem,NC_023019.1_3692
meropenem,NC_023019.1_4327
meropenem,NC_023149.1_3043
meropenem,NC_023149.1_4932
